Name,AUC,Accuracy,Precision,Recall,F1-Score
StackingDecisionTreeClassifier,0.63965,0.82414,0.89491,0.89979,0.89734
StackingRandomForestClassifier,0.88891,0.88503,0.91280,0.95681,0.93429
